,lat,lng,date,time,timestamp
0,37.79412,-122.39809,2019-08-04,19:28:4,2019-08-04 19:28:04
1,37.79414,-122.39795,2019-08-04,19:28:4,2019-08-04 19:28:04
2,37.79421,-122.39788,2019-08-04,19:28:5,2019-08-04 19:28:05
3,37.79424,-122.39777,2019-08-04,19:29:0,2019-08-04 19:29:00
4,37.79429,-122.39766,2019-08-04,19:29:1,2019-08-04 19:29:01
5,37.79424,-122.39776,2019-08-04,19:29:4,2019-08-04 19:29:04
6,37.79415,-122.3977,2019-08-04,19:29:5,2019-08-04 19:29:05
7,37.79405,-122.39774,2019-08-04,19:30:0,2019-08-04 19:30:00
8,37.7939,-122.3977,2019-08-04,19:30:1,2019-08-04 19:30:01
9,37.79387,-122.39766,2019-08-04,19:30:2,2019-08-04 19:30:02
10,37.79374,-122.39762,2019-08-04,19:30:2,2019-08-04 19:30:02
11,37.7936,-122.39759,2019-08-04,19:30:3,2019-08-04 19:30:03
12,37.79355,-122.39758,2019-08-04,19:30:4,2019-08-04 19:30:04
13,37.79346,-122.3975,2019-08-04,19:30:5,2019-08-04 19:30:05
14,37.79337,-122.39759,2019-08-04,19:31:0,2019-08-04 19:31:00
15,37.79327,-122.39758,2019-08-04,19:31:1,2019-08-04 19:31:01
16,37.7931,-122.39757,2019-08-04,19:31:2,2019-08-04 19:31:02
17,37.7931,-122.39751,2019-08-04,19:31:5,2019-08-04 19:31:05
18,37.793,-122.39749,2019-08-04,19:31:5,2019-08-04 19:31:05
19,37.79291,-122.39746,2019-08-04,19:32:0,2019-08-04 19:32:00
20,37.79282,-122.39744,2019-08-04,19:32:0,2019-08-04 19:32:00
21,37.79271,-122.39748,2019-08-04,19:32:1,2019-08-04 19:32:01
22,37.79262,-122.39753,2019-08-04,19:32:1,2019-08-04 19:32:01
23,37.7925,-122.3976,2019-08-04,19:32:2,2019-08-04 19:32:02
24,37.79244,-122.39764,2019-08-04,19:32:3,2019-08-04 19:32:03
25,37.79241,-122.39775,2019-08-04,19:32:5,2019-08-04 19:32:05
26,37.79243,-122.39791,2019-08-04,19:32:5,2019-08-04 19:32:05
27,37.79241,-122.398,2019-08-04,19:32:5,2019-08-04 19:32:05
28,37.79236,-122.39813,2019-08-04,19:33:0,2019-08-04 19:33:00
29,37.7922,-122.39817,2019-08-04,19:33:1,2019-08-04 19:33:01
30,37.79218,-122.3981,2019-08-04,19:33:2,2019-08-04 19:33:02
31,37.79208,-122.39819,2019-08-04,19:33:3,2019-08-04 19:33:03
32,37.79199,-122.39822,2019-08-04,19:33:4,2019-08-04 19:33:04
33,37.7919,-122.39823,2019-08-04,19:33:4,2019-08-04 19:33:04
34,37.79178,-122.39828,2019-08-04,19:33:5,2019-08-04 19:33:05
35,37.79166,-122.39834,2019-08-04,19:33:5,2019-08-04 19:33:05
36,37.7915,-122.39839,2019-08-04,19:33:5,2019-08-04 19:33:05
37,37.79149,-122.39844,2019-08-04,19:34:0,2019-08-04 19:34:00
38,37.7914,-122.3985,2019-08-04,19:34:0,2019-08-04 19:34:00
39,37.79133,-122.39857,2019-08-04,19:34:1,2019-08-04 19:34:01
40,37.79126,-122.39866,2019-08-04,19:34:2,2019-08-04 19:34:02
41,37.7912,-122.39875,2019-08-04,19:34:3,2019-08-04 19:34:03
42,37.79116,-122.3988,2019-08-04,19:34:5,2019-08-04 19:34:05
43,37.79114,-122.39898,2019-08-04,19:35:2,2019-08-04 19:35:02
44,37.79109,-122.399,2019-08-04,19:35:3,2019-08-04 19:35:03
45,37.79103,-122.39917,2019-08-04,19:35:5,2019-08-04 19:35:05
46,37.7909,-122.39927,2019-08-04,19:36:0,2019-08-04 19:36:00
47,37.79093,-122.39937,2019-08-04,19:36:2,2019-08-04 19:36:02
48,37.79085,-122.39947,2019-08-04,19:36:2,2019-08-04 19:36:02
49,37.79076,-122.3995,2019-08-04,19:36:3,2019-08-04 19:36:03
50,37.79069,-122.39958,2019-08-04,19:36:3,2019-08-04 19:36:03
51,37.79061,-122.39965,2019-08-04,19:36:4,2019-08-04 19:36:04
52,37.79053,-122.39971,2019-08-04,19:36:4,2019-08-04 19:36:04
53,37.79048,-122.39982,2019-08-04,19:37:0,2019-08-04 19:37:00
54,37.79044,-122.39995,2019-08-04,19:37:1,2019-08-04 19:37:01
55,37.7904,-122.4,2019-08-04,19:37:1,2019-08-04 19:37:01
56,37.79036,-122.40017,2019-08-04,19:37:2,2019-08-04 19:37:02
57,37.79033,-122.40028,2019-08-04,19:37:3,2019-08-04 19:37:03
58,37.79032,-122.40041,2019-08-04,19:37:4,2019-08-04 19:37:04
59,37.7903,-122.40053,2019-08-04,19:37:4,2019-08-04 19:37:04
60,37.79027,-122.40064,2019-08-04,19:37:5,2019-08-04 19:37:05
61,37.79018,-122.40063,2019-08-04,19:38:0,2019-08-04 19:38:00
62,37.79008,-122.40063,2019-08-04,19:38:1,2019-08-04 19:38:01
63,37.78998,-122.40065,2019-08-04,19:38:1,2019-08-04 19:38:01
64,37.78989,-122.40071,2019-08-04,19:38:2,2019-08-04 19:38:02
65,37.78981,-122.40078,2019-08-04,19:38:3,2019-08-04 19:38:03
